Field|Value|Notes
Working Title|Titles: A LitRPG Progression Mod|Rename freely - the mod id below is what matters for code
Mod ID|titles|Lowercase a-z0-9_ only. Check it is unused on Modrinth/CurseForge before committing
Concept|Players earn persistent Titles for in-game accomplishments. Titles grant passive stat bonuses and unique powers.|Collection + prestige + build customization
Core Loop|Play normally -> hit a hidden or public milestone -> earn Title -> equip it in the Titles screen -> gain a passive bonus -> chase rarer Titles|
Equip Model|10 equip slots capped at a 40-point power budget. Unique and Limited titles stack on top - slot-exempt and budget-exempt.|DECIDED. See the Balance Model sheet
Audience|Multiplayer-first. Single player must work identically.|DECIDED. Server-authoritative code makes SP free via the integrated server
Target Game Version|1.20.1 - DECIDED|Forced by integration. Every mod we want to hook into is Forge 1.20.1 only. Compatibility with them is the one requirement that cannot be engineered around - everything else can. 1.20.1 also still carries one of the two largest modded populations so this is not an exile.
Upgrade Path|Ship 1.20.1 v1 first - then ONE jump straight to the current stable version. Skip every intermediate.|Nobody plays 1.20.4 or 1.21.3. One port with a finished playtested mod in hand beats five ports with a half-built one. Do not pin the port target now - aim at whatever is stable when we get there.
Mod Loader|Forge 47.x on 1.20.1 - NeoForge on the port - DECIDED|Supersedes the earlier NeoForge-only decision. Integration targets are Forge-only so we have no choice on 1.20.1. Consequence - the port crosses a loader change AND five years of API churn in a single jump. See the Forward compatibility rows on the Design Decisions sheet.
JDK Required|Java 17|1.20.1 will not build on a newer toolchain. You already have 17 installed so nothing to do. The port target will want 21 or newer - install that at port time not now.
Mappings|Official (Mojang) plus Parchment for parameter names|1.20.1 is obfuscated - there is a real mapping layer. Parchment supplies readable parameter names on top of it. The port target is fully unobfuscated so mappings stop mattering entirely after the jump.
Language Level|Java 17 syntax only|Records - sealed interfaces and switch expressions all exist in 17 and all survive the port unchanged. Nothing newer is worth using if it makes the source move badly.
Build Tool|Gradle plus ForgeGradle 6|ModDevGradle is NeoForge-only and does not apply on 1.20.1. The build script is thrown away at port time regardless - do not over-invest in it.
Sided-ness|Server-authoritative. Client is display only.|All title grants/checks run on the logical server and sync via packets
Persistence - Per Player|Forge Capability wrapping a plain codec-backed record|The record is the real data - the capability is only a holder. On NeoForge that same record drops into a Data Attachment untouched. Survives death via PlayerEvent.Clone - Forge does not copy it for you.
Persistence - Per World|SavedData / PersistentState on the overworld|Holds the server-wide ledger for Limited and Unique titles
Integration Targets|Forge 1.20.1 mods - exact list still to be pinned|See Open Question 16. Every one must be a SOFT dependency behind a mod-loaded guard. The mod has to load and play correctly with all of them absent.
Port Discipline|Confine the Forge API behind a small platform layer|Five or six interfaces - registration - networking - persistence - events - attributes - screen glue. Not a framework. Every direct Forge call is a port cost. See Design Decisions.
Data-driven?|Yes - titles defined in JSON under data/<namespace>/title/|Lets you and datapack authors add titles without recompiling
Config|Server config (balance, scarcity toggles) + client config (HUD position)|Keep balance numbers out of code
Min Viable Scope|~12 titles, 4 effect types, 1 screen, 1 keybind|Ship this before writing 60 titles
Stretch Scope|Title sets/synergies, seasonal resets, leaderboard, chat prefix, nameplate render|
Biggest Technical Risk|Server-wide Limited/Unique title claims must be race-free and survive crashes|Single-threaded server tick makes this tractable - just do not do it async
Biggest Design Risk|Limited-quantity titles create FOMO and grief in multiplayer|See the Design Decisions sheet for mitigations
