ID|Display Name|Category|Rarity|Scarcity|Max Holders|Secret|Hint|How to Obtain|Progress Source|Effect Summary|Effect Types|Magnitude|Power Budget|Impl Complexity|Status|Flavor Text
novice|Novice|Starter|Common|Unlimited|-|No|-|Granted on first join if the random roll gives nothing better|First-join grant|Small all-round nudge for new characters|ATTR_MAX_HEALTH|+2.0 max health|2|Easy|Planned|Everyone starts somewhere.
wanderer|Wanderer|Starter|Common|Unlimited|-|No|-|Possible random starter title|First-join grant|Slightly faster on foot|ATTR_MOVEMENT_SPEED|+4%|2|Easy|Planned|The road was there before you were.
tinkerer|Tinkerer|Starter|Common|Unlimited|-|No|-|Possible random starter title|First-join grant|Tools last a little longer|CUSTOM|-10% durability consumption|2|Medium|Planned|Fix it twice and it never breaks.
forager|Forager|Starter|Common|Unlimited|-|No|-|Possible random starter title|First-join grant|Food restores slightly more saturation|CUSTOM|+15% saturation from food|2|Medium|Planned|The forest sets a table for those who look.
scrapper|Scrapper|Starter|Common|Unlimited|-|No|-|Possible random starter title|First-join grant|Bare-fist damage up|ATTR_ATTACK_DAMAGE|+1.0 when empty-handed|2|Medium|Planned|No sword? No problem.
stone_breaker|Stone Breaker|Mining|Common|Unlimited|-|No|-|Break 15 stone-family blocks with an empty hand|Vanilla stat BLOCK_MINED + empty-hand check|Bare hands break stone-tier blocks at stone pickaxe speed and they drop properly|TOOL_TIER_HAND ATTR_BLOCK_BREAK_SPEED|Hand = stone tier speed and drops|3|Hard|Planned|Knuckles like gravel.
pick_hand|Pick Hand|Mining|Common|Unlimited|-|No|-|Mine 2000 blocks with a pickaxe|Vanilla stat BLOCK_MINED|Pickaxes swing faster|TOOL_PROFICIENCY|+20% pickaxe break speed|3|Medium|Planned|The handle wore down to fit your grip.
iron_knuckles|Iron Knuckles|Mining|Rare|Unlimited|-|No|-|Break 40 blocks by hand after earning Stone Breaker|Custom counter|Bare hands reach iron tier|TOOL_TIER_HAND|Hand = iron tier speed and drops|6|Hard|Planned|You stopped noticing the blood.
deepslate_delver|Deepslate Delver|Mining|Uncommon|Unlimited|-|No|-|Mine 500 deepslate|Vanilla stat BLOCK_MINED|Faster mining below sea level|ATTR_BLOCK_BREAK_SPEED|+15% while below y=0|3|Medium|Planned|The stone gets meaner the deeper you go.
vein_seeker|Vein Seeker|Mining|Rare|Unlimited|-|No|-|Mine 250 ore blocks of any type|Vanilla stat BLOCK_MINED over an ore tag|Chance at extra ore drops|ON_MINE_PROC ATTR_LUCK|8% double drop and +1 luck|5|Medium|Planned|You can hear where the metal sleeps.
spelunker|Spelunker|Mining|Uncommon|Unlimited|-|No|-|Spend 10 in-game days below y=-40|Tick sampler every 100 ticks|Faint sight in total darkness|PASSIVE_EFFECT|Night Vision while below y=0|3|Medium|Planned|Daylight is a rumor down here.
quarrymaster|Quarrymaster|Mining|Epic|Limited|3|No|-|Mine 100000 blocks total|Vanilla stat sum|SIGNATURE - mining mastery. Utility only - no combat power.|ATTR_BLOCK_BREAK_SPEED ATTR_MINING_EFFICIENCY|+20% speed and +2 efficiency|4 exempt|Easy|Planned|The mountain lost.
obsidian_willed|Obsidian Willed|Mining|Rare|Unlimited|-|No|-|Mine 64 obsidian|Vanilla stat BLOCK_MINED|Resistant to explosions|DMG_VS_DAMAGE_SOURCE ATTR_EXPLOSION_KB_RESIST|-25% explosion damage and +0.5 explosion kb resist|5|Medium|Planned|Slow to break. Slower to bend.
woodcutter|Woodcutter|Gathering|Common|Unlimited|-|No|-|Chop 500 logs|Vanilla stat BLOCK_MINED over the logs tag|Axes bite deeper|TOOL_PROFICIENCY|+25% axe break speed|3|Medium|Planned|The forest is just a queue.
groundskeeper|Groundskeeper|Gathering|Common|Unlimited|-|No|-|Dig 2000 dirt-family blocks|Vanilla stat BLOCK_MINED over a tag|Shovels move more|TOOL_PROFICIENCY|+25% shovel break speed|3|Medium|Planned|Somebody has to move the hill.
undead_bane|Undead Bane|Combat|Common|Unlimited|-|No|-|Kill 100 zombies|Vanilla stat ENTITY_KILLED|More damage to the whole undead tag|DMG_VS_TYPE|+15% vs undead entity type tag|4|Medium|Planned|They keep coming. So do you.
web_cutter|Web Cutter|Combat|Common|Unlimited|-|No|-|Kill 100 spiders|Vanilla stat ENTITY_KILLED|More damage to arthropods and immunity to web slowdown|DMG_VS_TYPE CUSTOM|+15% vs arthropods and normal speed in cobwebs|4|Medium|Planned|Eight legs. Same result.
drowned_hunter|Drowned Hunter|Combat|Common|Unlimited|-|No|-|Kill 100 drowned|Vanilla stat ENTITY_KILLED|More damage to drowned|DMG_VS_TYPE|+10% vs drowned|2|Easy|Planned|They were sailors once.
husk_breaker|Husk Breaker|Combat|Common|Unlimited|-|No|-|Kill 75 husks|Vanilla stat ENTITY_KILLED|More damage to husks|DMG_VS_TYPE|+10% vs husks|2|Easy|Planned|The desert mummifies its mistakes.
bogged_hunter|Bogged Hunter|Combat|Common|Unlimited|-|No|-|Kill 50 bogged|Vanilla stat ENTITY_KILLED|More damage to bogged|DMG_VS_TYPE|+10% vs bogged|2|Easy|Planned|Something rotted and kept the bow.
ashen_reaper|Ashen Reaper|Combat|Common|Unlimited|-|No|-|Kill 50 wither skeletons|Vanilla stat ENTITY_KILLED|More damage to wither skeletons|DMG_VS_TYPE|+10% vs wither skeletons|2|Easy|Planned|The fortress keeps making more.
piglin_bruiser|Piglin Bruiser|Combat|Common|Unlimited|-|No|-|Kill 100 piglins or piglin brutes|Vanilla stat ENTITY_KILLED|More damage to piglins|DMG_VS_TYPE|+10% vs piglins and piglin brutes|2|Easy|Planned|Gold only buys so much patience.
hoglin_hunter|Hoglin Hunter|Combat|Common|Unlimited|-|No|-|Kill 50 hoglins or zoglins|Vanilla stat ENTITY_KILLED|More damage to hoglins|DMG_VS_TYPE|+10% vs hoglins and zoglins|2|Easy|Planned|Pork chops with a temper.
ghast_swatter|Ghast Swatter|Combat|Common|Unlimited|-|No|-|Kill 25 ghasts|Vanilla stat ENTITY_KILLED|More damage to ghasts|DMG_VS_TYPE|+10% vs ghasts|2|Easy|Planned|Crying does not help either of you.
witch_hunter|Witch Hunter|Combat|Common|Unlimited|-|No|-|Kill 50 witches|Vanilla stat ENTITY_KILLED|More damage to witches|DMG_VS_TYPE|+10% vs witches|2|Easy|Planned|She drank the wrong one.
slime_splitter|Slime Splitter|Combat|Common|Unlimited|-|No|-|Kill 100 slimes or magma cubes|Vanilla stat ENTITY_KILLED|More damage to slimes|DMG_VS_TYPE|+10% vs slimes and magma cubes|2|Easy|Planned|Halving a problem is not solving it.
phantom_swatter|Phantom Swatter|Combat|Common|Unlimited|-|No|-|Kill 50 phantoms|Vanilla stat ENTITY_KILLED|More damage to phantoms|DMG_VS_TYPE|+10% vs phantoms|2|Easy|Planned|Go to bed.
guardian_diver|Guardian Diver|Combat|Common|Unlimited|-|No|-|Kill 50 guardians|Vanilla stat ENTITY_KILLED|More damage to guardians|DMG_VS_TYPE|+10% vs guardians and elder guardians|2|Easy|Planned|The temple stares back.
exterminator|Exterminator|Combat|Common|Unlimited|-|No|-|Kill 100 silverfish or endermites|Vanilla stat ENTITY_KILLED|More damage to infestation mobs|DMG_VS_TYPE|+10% vs silverfish and endermites|2|Easy|Planned|Check the walls. Always check the walls.
vex_swatter|Vex Swatter|Combat|Common|Unlimited|-|No|-|Kill 50 vexes|Vanilla stat ENTITY_KILLED|More damage to vexes|DMG_VS_TYPE|+10% vs vexes|2|Easy|Planned|Small. Fast. Rude.
