Effect Type|Implementation Hook|Attribute ID on 1.20.1 (VERIFY in-game)|Example Magnitude|Point Cost|Difficulty|Notes
ATTR_MAX_HEALTH|AttributeModifier ADDITION|minecraft:generic.max_health|+4.0 (2 hearts)|4|Easy|Remove modifier on unequip or players keep the hearts
ATTR_ARMOR|AttributeModifier ADDITION|minecraft:generic.armor|+2.0|3|Easy|Flat armor points - very strong early
ATTR_ARMOR_TOUGHNESS|AttributeModifier ADDITION|minecraft:generic.armor_toughness|+2.0|3|Easy|Reduces high-damage-hit scaling
ATTR_KNOCKBACK_RESIST|AttributeModifier ADDITION|minecraft:generic.knockback_resistance|+0.2 (20%)|2|Easy|1.0 = immune. Keep low
ATTR_ATTACK_DAMAGE|AttributeModifier MULTIPLY_TOTAL|minecraft:generic.attack_damage|+10%|4|Easy|Multiplied applies after weapon damage
ATTR_ATTACK_SPEED|AttributeModifier MULTIPLY_TOTAL|minecraft:generic.attack_speed|+10%|4|Easy|Big DPS impact - be conservative
ATTR_MOVEMENT_SPEED|AttributeModifier MULTIPLY_TOTAL|minecraft:generic.movement_speed|+5%|3|Easy|Above +20% feels broken and breaks some anti-cheat
ATTR_LUCK|AttributeModifier ADDITION|minecraft:generic.luck|+1.0|3|Easy|Only affects loot tables with quality/bonus_rolls - fishing, chests
ATTR_BLOCK_BREAK_SPEED|AttributeModifier MULTIPLY_TOTAL|NOT IN 1.20.1 - use Forge PlayerEvent.BreakSpeed|+15%|3|Medium|Global mining speed multiplier
ATTR_MINING_EFFICIENCY|AttributeModifier ADDITION|NOT IN 1.20.1 - fold into the same BreakSpeed hook|+2.0|3|Medium|Behaves like the Efficiency enchant term
ATTR_SUBMERGED_MINING|AttributeModifier ADDITION|NOT IN 1.20.1 - BreakSpeed hook - check isEyeInFluid|+0.5|1|Medium|Removes the underwater mining penalty
ATTR_SNEAKING_SPEED|AttributeModifier MULTIPLY_TOTAL|NOT IN 1.20.1 - no clean hook - CUT for v1|+30%|1|Medium|Quality of life - cheap
ATTR_STEP_HEIGHT|AttributeModifier ADDITION|forge:step_height_addition - Forge-added - VERIFY|+0.5|2|Easy|Walk up full blocks
ATTR_SAFE_FALL_DISTANCE|AttributeModifier ADDITION|NOT IN 1.20.1 - LivingFallEvent - raise the threshold|+3.0|2|Medium|Fall damage starts later
ATTR_FALL_DAMAGE_MULT|AttributeModifier MULTIPLY_TOTAL|NOT IN 1.20.1 - LivingFallEvent damageMultiplier|-25%|2|Medium|Negative value = less damage
ATTR_OXYGEN_BONUS|AttributeModifier ADDITION|NOT IN 1.20.1 - tick hook on air supply|+2.0|2|Medium|Longer breath underwater
ATTR_BURNING_TIME|AttributeModifier MULTIPLY_TOTAL|NOT IN 1.20.1 - tick hook trimming remaining fire ticks|-50%|2|Medium|Shorter time on fire
ATTR_EXPLOSION_KB_RESIST|AttributeModifier ADDITION|NOT IN 1.20.1 - no clean hook - CUT for v1|+0.5|2|Medium|Creeper/TNT knockback only - not damage
ATTR_INTERACTION_RANGE|AttributeModifier ADDITION|forge:block_reach / forge:entity_reach - Forge-added - VERIFY|+1.0|3|Easy|Very noticeable in PvP - gate behind high rarity
ATTR_JUMP_STRENGTH|AttributeModifier MULTIPLY_TOTAL|NOT IN 1.20.1 for players - horse only - use LivingJumpEvent|+10%|3|Medium|Pair with safe_fall_distance or players die to it
ATTR_MAX_ABSORPTION|AttributeModifier ADDITION|minecraft:generic.max_absorption - VERIFY it exists on 1.20.1|+4.0|4|Medium|Needs a refill source or it does nothing
ATTR_WATER_MOVE_EFF|AttributeModifier ADDITION|forge:swim_speed - Forge-added - VERIFY|+0.5|2|Easy|Depth Strider equivalent
ATTR_GRAVITY|AttributeModifier MULTIPLY_TOTAL|forge:entity_gravity - Forge-added - VERIFY|-10%|3|Medium|Feels odd - test heavily before shipping
DMG_VS_TYPE|Damage event - check target entity type tag|n/a|+15% vs undead|4|Medium|Forge LivingHurtEvent (pre-armor) or LivingDamageEvent (post-armor). Use entity type TAGS not hardcoded types
DMG_RESIST_FROM_TYPE|Damage event - check source entity type|n/a|-20% from creepers|4|Medium|Also match DamageSource types for explosion/fire/projectile
DMG_VS_DAMAGE_SOURCE|Damage event - check DamageSource tag|n/a|-30% explosion damage|3|Medium|Cleaner than entity checks for environmental damage
TOOL_TIER_HAND|Break-speed event + correct-tool-for-drops event|n/a|Bare hand counts as stone tier|5|Hard|TWO hooks. Speed alone still drops nothing - you must also override the drop check
TOOL_PROFICIENCY|Break-speed event scoped to a tool tag|n/a|+25% speed with axes|3|Medium|Scope by item tag so modded tools benefit too
