Mod or Group|Registry Namespace|Seen In|Why It Matters To Us|Integration Type|What We Actually Do|Notes
PROVENANCE|-|-|Cisco's Dragonfyre was read from its CurseForge instance manifest on 2026-08-25 - MC 1.20.1 - forge-47.4.13 - 375 mods. The full list is in design/reference/cisco-dragonfyre-modlist.txt. Soulrend and Beyond Depth come from their CurseForge store pages plus one page of Soulrend's 468-entry relations list - NOT full manifests.|-|Treat every Soulrend and Beyond Depth row as provisional until we read their manifests|To capture a pack cheaply download the modpack zip from its Files tab instead of installing it - a few hundred KB containing manifest.json and modlist.html
LEGEND - FREE|-|-|A generic datapack condition keyed on a registry id or tag reaches this mod's content with no dependency and no code. The condition is simply never satisfied when the mod is absent.|-|Nothing. Write the title JSON.|This is the overwhelming majority of integration and it is why the datapack vocabulary matters more than any Java compat class
LEGEND - COMMAND|-|-|The pack author drives us. Their quest or script calls our command as a reward.|-|Keep the command surface clean and scriptable|Zero code on either side. Probably our single highest-value integration path
LEGEND - COMPAT CLASS|-|-|We want to read or write something only this mod defines.|-|One isolated class behind a ModList.get().isLoaded() guard - never referenced from a field type in a loaded class|Per the Integration dependencies decision. Core must load and play correctly with it absent
LEGEND - WATCH|-|-|Grants attributes of its own. Does not need code from us - it needs our additive-only rule to be correct.|-|Nothing. Listed so we remember why the Stacking with other mods rule exists|See the Balance Model sheet
LEGEND - VERIFY|-|-|Alters the damage or attribute pipeline in a way that could make our numbers behave differently than we expect.|-|Test in-game before trusting any balance number|Cannot be resolved on paper
Apotheosis and Apothic Attributes|attributeslib|Cisco's and Soulrend|Registers 21 real attributes on 1.20.1 - crit_chance - crit_damage - life_steal - overheal - ghost_health - armor_pierce - armor_shred - prot_pierce - prot_shred - dodge_chance - draw_speed - arrow_damage - arrow_velocity - current_hp_damage - fire_damage - cold_damage - healing_received - mining_speed - experience_gained - elytra_flight - creative_flight|COMPAT CLASS|One compat class letting title effects target attributeslib attributes when it is loaded. Skip the effect silently when it is not.|THE most valuable single integration - present in both packs we have data for. mining_speed and experience_gained also map onto effects the Effect Catalog currently has to implement with event hooks. Namespace is attributeslib NOT apothic_attributes - verified against ALObjects.java on the 1.20 branch
AttributeFix|attributefix|Cisco's|Raises or removes the hard-coded min and max bounds vanilla puts on attributes. Its presence is direct evidence that this pack expects inflated attribute totals.|WATCH|Nothing - but config validation must not accept a cap value that vanilla would silently clamp when AttributeFix is absent|The clearest single proof that clamping the player's final attribute value would have been the wrong design
Passive Skill Trees|skilltree|Cisco's and Soulrend|Grants attributes directly through a skill tree. Stacks with everything else.|WATCH|Nothing|One of four separate attribute sources in Cisco's alone
Just Leveling|-|Soulrend|Levelling system granting attribute points as the player levels|WATCH|Nothing|A level-50 Soulrend player may sit far above vanilla baselines before our mod does anything
Origins family|origins|Cisco's|Origins (Forge) plus Origins Classes plus Medieval Origins Revival plus Strictly Origins. Grants powers - some attribute-backed.|WATCH|Nothing for v1|An origin-gated title condition is possible later but is not worth a compat class yet
Better Combat|bettercombat|Cisco's|Combat overhaul changing attack handling and reach|VERIFY|Confirm attack_damage and attack_speed modifiers flow through as expected|The pack also ships a Better Combat x Apotheosis Compat mod - the author has already had to reconcile two attribute systems by hand. Staying additive-only keeps us off that list
Epic Fight|epicfight|Soulrend|Full combat overhaul with its own movesets and damage handling|VERIFY|Confirm our attribute modifiers are respected at all|The highest-risk unknown on this sheet. If Epic Fight bypasses vanilla attack attributes then damage titles are inert in Soulrend and that pack needs a different lever
FTB Quests and FTB Library|ftbquests|Cisco's - Soulrend - Beyond Depth|Quest system with command rewards. Every pack we target runs a quest system.|COMMAND|Keep /titles grant clean - scriptable - and safe to call from a quest reward|Lets a pack author award our titles as quest rewards with no code from either side. Cheapest and most likely-used path we have
L_Ender's Cataclysm|cataclysm|Cisco's - Soulrend - Beyond Depth|Boss and mob content in all three target packs|FREE|Title JSON keyed on entity ids|Appears in every pack we have looked at - strongest candidate for shipping example title JSON
Mowzie's Mobs|mowziesmobs|Cisco's - Soulrend - Beyond Depth|Boss content in all three target packs|FREE|Title JSON keyed on entity ids|Same as Cataclysm
