#|Question|Why It Matters|Options|Your Answer
1|How many equip slots and can that number grow?|Defines the entire balance model|3 fixed / start at 1 and unlock more / scales with total titles earned|ANSWERED - 10 slots - fixed. Unique and Limited titles stack on top of the 10 and are budget-exempt.
2|Single player or multiplayer first?|Limited and Unique titles are meaningless in single player. Half the mod's identity depends on this|SP-first with scarcity disabled / MP-first / both with a config toggle|ANSWERED - multiplayer-first but single player must work just as smoothly. Same code path - the integrated server makes this free.
7|NeoForge only or both loaders?|Doubling loaders early roughly doubles the work|NeoForge only / Fabric only / both|ANSWERED - REVISED - Forge 47.x on 1.20.1 because every integration target is Forge-only. NeoForge after the port to 26.x. Still exactly one loader at a time - never two at once.
3|Should titles be visible to other players?|Drives whether this is a personal RPG sheet or a social status system. Given the multiplayer-first answer this now matters a lot more|Private / nameplate + chat prefix / opt-in|
4|Do you want a title level or prestige system later?|Changes the data model now - retrofitting levels is painful|Flat titles / titles level up with continued progress|
5|What is the target playstyle - vanilla-plus or full RPG overhaul?|Decides magnitude ranges. The 40-point budget assumes vanilla-plus. An overhaul would roughly double every number|Vanilla-plus / overhaul|
6|Should title effects work in PvP?|Uncapped PvP scaling will get the mod banned from servers. With 10 slots this is now a bigger deal than it was at 3|Full effect / reduced in PvP / config toggle|
8|Any conflict with existing mods in this space?|Worth 20 minutes on Modrinth before naming it|Check "titles" "ranks" "prestige" on Modrinth|
9|Do titles interact with each other?|Set bonuses and synergies are a great hook. With 10 slots there is real room for them now|None / synergy pairs / full set bonuses|
10|Server-wide or per-world scarcity on a multi-world server?|Affects where the SavedData lives|Per-world / global via a shared file|
11|What is the mod's actual name?|Everything downstream uses the mod id|-|
12|Do you want an achievement-style completion reward?|"Earn 25 titles" as a meta-title is a strong long-term hook|Yes as meta-titles / no|
13|Should the 40-point budget be flat or grow with progression?|Flat means late players choose between titles forever. Growing means the cap is a progression track of its own|Flat 40 / grows from 10 to 40 as you earn titles|
15|Do we build a consensual duel system?|The Unrivaled now depends on it - the title has no unlock condition without a duel ledger. It is a whole subsystem - challenge and accept - win detection - a persistent win counter - and rules for forfeits - disconnects and ties. Nothing else in the mod needs PvP infrastructure|Full duel system with challenge/accept / piggyback on an existing PvP mod / drop the duel idea and give The Unrivaled a different contested condition|
14|Target 26.1 stable or 26.2 beta?|NeoForge has no stable 26.2 release yet - only 26.2.0.41-beta. 26.1 is stable at 26.1.2.93|26.1 stable / 26.2 beta|OBSOLETE - superseded by the 1.20.1 decision. Re-ask at port time and take whatever is stable then. Do not pin a version now.
16|Which mods exactly are we integrating with?|Nothing downstream can be pinned until this list exists. It decides the Gradle dependencies - the API surface we compile against - and how much of Phase 6 survives the port|List each mod with its 1.20.1 Forge version and whether it exposes a real API or needs reflection|MOSTLY ANSWERED - see the Integration Targets sheet. Cisco's Dragonfyre read in full from its manifest - Soulrend and Beyond Depth partially. Answer - exactly TWO things need code - attributeslib as a compat class and a clean /titles grant command. Everything else is datapack JSON. Prominence II is CUT - it is a Fabric pack and Sinytra Connector cannot run a Forge mod on Fabric. Still open - read the Soulrend and Beyond Depth manifests to confirm
17|Do any integration targets already have a 26.x version?|If most do the port gets far more valuable. If none do then the ported build serves a different audience entirely and the integrations become dead weight|Check each one on Modrinth and CurseForge before committing to the port|MUCH SMALLER NOW - only attributeslib actually matters since it is our one compat class. Everything else is datapack JSON that survives the port untouched regardless of what those mods do
18|Does any integration need more than a soft dependency?|A mod we genuinely cannot function without changes the whole compat story and would make the port hostage to their update schedule|All soft / one is effectively required|ANSWERED - all soft. Nothing is required. The two things that need code both degrade cleanly - the attributeslib effects skip silently when it is absent and the command works standalone
19|Does Epic Fight bypass vanilla attack attributes?|Soulrend is built on Epic Fight. If it handles damage without consulting attack_damage then every damage title is silently inert in that pack and no amount of balancing fixes it|Test in-game once we have a working build / find another lever for that pack / accept damage titles do nothing there|The single highest-risk unknown on the Integration Targets sheet. Cannot be resolved on paper
